time,gFx,gFy,gFz,TgF
0.003000,-0.0701,0.9902,-0.0401,0.993
0.003000,-0.0689,0.9904,-0.0076,0.993
0.004000,-0.0677,0.9885,0.0225,0.991
0.004000,-0.0665,0.9880,0.0342,0.991
0.004000,-0.0655,0.9826,0.0542,0.986
0.005000,-0.0655,0.9797,0.0665,0.984
0.005000,-0.0687,0.9782,0.0740,0.983
0.014000,-0.0733,0.9780,0.0740,0.984
0.015000,-0.0833,0.9785,0.0721,0.985
0.015000,-0.0870,0.9812,0.0684,0.987
0.016000,-0.0950,0.9817,0.0633,0.988
0.016000,-0.1004,0.9807,0.0559,0.987
0.017000,-0.1009,0.9812,0.0486,0.988
0.030000,-0.0994,0.9809,0.0447,0.987
0.030000,-0.0943,0.9790,0.0391,0.984
0.031000,-0.0867,0.9777,0.0308,0.982
0.031000,-0.0833,0.9773,0.0279,0.981
0.031000,-0.0782,0.9768,0.0244,0.980
0.032000,-0.0745,0.9755,0.0205,0.979
0.032000,-0.0723,0.9763,0.0200,0.979
0.033000,-0.0728,0.9780,0.0203,0.981
0.035000,-0.0726,0.9790,0.0161,0.982
0.036000,-0.0721,0.9775,0.0161,0.980
0.038000,-0.0713,0.9780,0.0166,0.981
0.040000,-0.0721,0.9792,0.0188,0.982
0.042000,-0.0738,0.9795,0.0205,0.982
0.045000,-0.0730,0.9792,0.0227,0.982
0.047000,-0.0718,0.9792,0.0244,0.982
0.049000,-0.0718,0.9804,0.0259,0.983
0.065000,-0.0721,0.9792,0.0274,0.982
0.066000,-0.0738,0.9780,0.0276,0.981
0.066000,-0.0757,0.9787,0.0281,0.982
0.067000,-0.0796,0.9797,0.0257,0.983
0.067000,-0.0826,0.9802,0.0247,0.984
0.067000,-0.0853,0.9831,0.0261,0.987
0.068000,-0.0867,0.9843,0.0261,0.988
0.068000,-0.0860,0.9861,0.0274,0.990
0.068000,-0.0862,0.9873,0.0281,0.991
0.069000,-0.0872,0.9882,0.0276,0.992
0.071000,-0.0845,0.9880,0.0269,0.992
0.090000,-0.0831,0.9885,0.0257,0.992
0.091000,-0.0831,0.9873,0.0252,0.991
0.091000,-0.0840,0.9870,0.0239,0.991
0.091000,-0.0845,0.9853,0.0230,0.989
0.092000,-0.0875,0.9846,0.0232,0.989
0.092000,-0.0916,0.9848,0.0232,0.989
0.093000,-0.0931,0.9841,0.0235,0.989
0.093000,-0.0977,0.9858,0.0269,0.991
0.093000,-0.1019,0.9875,0.0305,0.993
0.093000,-0.1019,0.9882,0.0308,0.994
0.094000,-0.1026,0.9887,0.0337,0.995
0.098000,-0.1004,0.9873,0.0376,0.993
0.099000,-0.0985,0.9856,0.0440,0.991
0.099000,-0.0967,0.9848,0.0459,0.991
0.101000,-0.0938,0.9848,0.0484,0.990
0.102000,-0.0906,0.9843,0.0472,0.990
0.105000,-0.0884,0.9831,0.0469,0.988
0.106000,-0.0850,0.9824,0.0452,0.987
0.108000,-0.0840,0.9834,0.0440,0.988
0.110000,-0.0838,0.9829,0.0408,0.987
0.112000,-0.0850,0.9817,0.0362,0.986
0.114000,-0.0838,0.9802,0.0318,0.984
0.118000,-0.0826,0.9807,0.0279,0.985
0.120000,-0.0828,0.9809,0.0261,0.985
0.121000,-0.0818,0.9812,0.0249,0.985
0.122000,-0.0784,0.9802,0.0227,0.984
0.124000,-0.0779,0.9797,0.0227,0.983
0.126000,-0.0772,0.9795,0.0225,0.983
0.128000,-0.0765,0.9792,0.0232,0.982
0.130000,-0.0752,0.9797,0.0252,0.983
0.132000,-0.0733,0.9804,0.0261,0.984
0.134000,-0.0721,0.9792,0.0271,0.982
0.137000,-0.0711,0.9790,0.0269,0.982
0.138000,-0.0696,0.9792,0.0266,0.982
0.140000,-0.0694,0.9804,0.0261,0.983
0.143000,-0.0713,0.9792,0.0261,0.982
0.144000,-0.0718,0.9799,0.0257,0.983
0.146000,-0.0735,0.9812,0.0244,0.984
0.148000,-0.0757,0.9780,0.0222,0.981
0.151000,-0.0762,0.9780,0.0208,0.981
0.152000,-0.0757,0.9809,0.0213,0.984
0.154000,-0.0772,0.9804,0.0210,0.984
0.156000,-0.0767,0.9819,0.0232,0.985
0.159000,-0.0760,0.9824,0.0239,0.986
0.160000,-0.0762,0.9841,0.0261,0.987
0.162000,-0.0782,0.9831,0.0254,0.987
0.165000,-0.0779,0.9829,0.0254,0.986
0.166000,-0.0792,0.9812,0.0288,0.985
0.181000,-0.0806,0.9809,0.0303,0.985
0.182000,-0.0818,0.9814,0.0305,0.985
0.183000,-0.0831,0.9814,0.0303,0.985
0.183000,-0.0853,0.9821,0.0310,0.986
0.184000,-0.0840,0.9826,0.0318,0.987
0.184000,-0.0838,0.9824,0.0313,0.986
0.185000,-0.0828,0.9817,0.0298,0.986
0.185000,-0.0831,0.9829,0.0293,0.987
0.185000,-0.0848,0.9831,0.0293,0.987
0.207000,-0.0858,0.9829,0.0296,0.987
0.207000,-0.0877,0.9841,0.0276,0.988
0.208000,-0.0889,0.9848,0.0286,0.989
0.209000,-0.0914,0.9856,0.0298,0.990
0.209000,-0.0921,0.9853,0.0281,0.990
0.209000,-0.0899,0.9863,0.0266,0.991
0.210000,-0.0892,0.9865,0.0259,0.991
0.210000,-0.0884,0.9853,0.0254,0.990
0.211000,-0.0880,0.9858,0.0235,0.990
0.211000,-0.0880,0.9858,0.0235,0.990
0.211000,-0.0889,0.9846,0.0249,0.989
0.212000,-0.0899,0.9863,0.0286,0.991
0.212000,-0.0916,0.9858,0.0301,0.991
0.213000,-0.0953,0.9858,0.0315,0.991
0.219000,-0.0985,0.9858,0.0337,0.991
0.220000,-0.0977,0.9863,0.0366,0.992
0.220000,-0.0965,0.9853,0.0384,0.991
0.234000,-0.0931,0.9841,0.0388,0.989
0.235000,-0.0880,0.9846,0.0398,0.989
0.236000,-0.0838,0.9863,0.0410,0.991
0.236000,-0.0799,0.9826,0.0396,0.987
0.237000,-0.0784,0.9817,0.0366,0.985
0.237000,-0.0784,0.9824,0.0340,0.986
0.238000,-0.0760,0.9824,0.0288,0.986
0.238000,-0.0777,0.9836,0.0242,0.987
0.239000,-0.0792,0.9831,0.0188,0.986
0.239000,-0.0799,0.9817,0.0166,0.985
0.250000,-0.0823,0.9807,0.0186,0.984
0.251000,-0.0840,0.9807,0.0164,0.984
0.252000,-0.0831,0.9819,0.0151,0.986
0.252000,-0.0833,0.9809,0.0139,0.985
0.252000,-0.0828,0.9799,0.0181,0.984
0.253000,-0.0828,0.9795,0.0215,0.983
0.253000,-0.0818,0.9807,0.0271,0.984
0.255000,-0.0799,0.9785,0.0337,0.982
0.257000,-0.0772,0.9809,0.0386,0.985
0.258000,-0.0760,0.9804,0.0406,0.984
0.260000,-0.0740,0.9773,0.0464,0.981
0.262000,-0.0723,0.9765,0.0479,0.980
0.264000,-0.0743,0.9763,0.0469,0.980
0.267000,-0.0789,0.9775,0.0418,0.982
0.281000,-0.0799,0.9770,0.0371,0.981
0.282000,-0.0811,0.9775,0.0354,0.981
0.282000,-0.0828,0.9792,0.0310,0.983
0.283000,-0.0831,0.9802,0.0279,0.984
0.283000,-0.0828,0.9814,0.0225,0.985
0.283000,-0.0826,0.9819,0.0205,0.986
0.284000,-0.0804,0.9804,0.0186,0.984
0.284000,-0.0794,0.9787,0.0178,0.982
0.285000,-0.0796,0.9775,0.0193,0.981
0.306000,-0.0770,0.9770,0.0205,0.980
0.307000,-0.0752,0.9785,0.0235,0.982
0.307000,-0.0743,0.9797,0.0257,0.983
0.308000,-0.0762,0.9817,0.0296,0.985
0.308000,-0.0833,0.9836,0.0286,0.988
0.309000,-0.0862,0.9848,0.0286,0.989
0.309000,-0.0909,0.9843,0.0291,0.989
0.309000,-0.0958,0.9851,0.0286,0.990
0.310000,-0.0958,0.9853,0.0293,0.990
0.310000,-0.0933,0.9856,0.0298,0.990
0.311000,-0.0887,0.9858,0.0318,0.990
0.311000,-0.0836,0.9861,0.0354,0.990
0.311000,-0.0821,0.9861,0.0364,0.990
0.318000,-0.0792,0.9863,0.0401,0.990
0.319000,-0.0774,0.9873,0.0415,0.991
0.319000,-0.0816,0.9873,0.0366,0.991
0.320000,-0.0838,0.9865,0.0344,0.991
0.331000,-0.0862,0.9863,0.0301,0.991
0.333000,-0.0897,0.9843,0.0283,0.989
0.333000,-0.0902,0.9853,0.0276,0.990
0.333000,-0.0897,0.9868,0.0252,0.991
0.334000,-0.0911,0.9887,0.0183,0.993
0.334000,-0.0911,0.9880,0.0161,0.992
0.335000,-0.0894,0.9865,0.0129,0.991
0.335000,-0.0848,0.9853,0.0156,0.989
0.348000,-0.0821,0.9834,0.0181,0.987
0.349000,-0.0787,0.9836,0.0227,0.987
0.350000,-0.0774,0.9829,0.0249,0.986
0.350000,-0.0765,0.9826,0.0266,0.986
0.350000,-0.0762,0.9824,0.0281,0.986
0.351000,-0.0770,0.9841,0.0293,0.988
0.351000,-0.0794,0.9839,0.0298,0.988
0.352000,-0.0806,0.9831,0.0310,0.987
0.353000,-0.0811,0.9831,0.0310,0.987
0.355000,-0.0782,0.9817,0.0303,0.985
0.356000,-0.0767,0.9814,0.0288,0.985
0.358000,-0.0767,0.9792,0.0271,0.983
0.360000,-0.0738,0.9753,0.0247,0.978
0.362000,-0.0748,0.9770,0.0232,0.980
0.364000,-0.0752,0.9773,0.0215,0.980
0.367000,-0.0752,0.9777,0.0193,0.981
0.381000,-0.0748,0.9797,0.0178,0.983
0.382000,-0.0752,0.9802,0.0176,0.983
0.382000,-0.0762,0.9809,0.0200,0.984
0.383000,-0.0784,0.9804,0.0215,0.984
0.383000,-0.0811,0.9804,0.0252,0.984
0.384000,-0.0816,0.9799,0.0254,0.984
0.384000,-0.0823,0.9790,0.0269,0.983
0.385000,-0.0858,0.9804,0.0291,0.985
0.385000,-0.0870,0.9812,0.0305,0.985
0.387000,-0.0882,0.9834,0.0320,0.988
0.389000,-0.0862,0.9831,0.0366,0.988
0.390000,-0.0862,0.9841,0.0391,0.989
0.392000,-0.0850,0.9843,0.0406,0.989
0.395000,-0.0843,0.9853,0.0393,0.990
0.397000,-0.0838,0.9851,0.0388,0.989
0.402000,-0.0828,0.9858,0.0379,0.990
0.403000,-0.0843,0.9843,0.0337,0.989
0.403000,-0.0858,0.9853,0.0313,0.990
0.407000,-0.0867,0.9861,0.0288,0.990
0.408000,-0.0887,0.9880,0.0264,0.992
0.408000,-0.0911,0.9882,0.0217,0.993
0.410000,-0.0919,0.9895,0.0195,0.994
0.412000,-0.0945,0.9914,0.0161,0.996
0.414000,-0.0958,0.9914,0.0161,0.996
0.417000,-0.0965,0.9909,0.0166,0.996
0.418000,-0.0958,0.9902,0.0176,0.995
0.421000,-0.0933,0.9892,0.0213,0.994
0.422000,-0.0909,0.9870,0.0259,0.992
0.424000,-0.0906,0.9875,0.0281,0.992
0.426000,-0.0862,0.9885,0.0303,0.993
0.429000,-0.0848,0.9843,0.0362,0.989
0.430000,-0.0833,0.9829,0.0366,0.987
0.432000,-0.0814,0.9843,0.0381,0.988
0.434000,-0.0801,0.9824,0.0359,0.986
0.437000,-0.0814,0.9819,0.0325,0.986
0.438000,-0.0821,0.9814,0.0308,0.985
0.440000,-0.0828,0.9797,0.0254,0.984
0.442000,-0.0823,0.9797,0.0225,0.983
0.445000,-0.0816,0.9799,0.0217,0.984
0.447000,-0.0814,0.9804,0.0220,0.984
0.449000,-0.0804,0.9790,0.0215,0.982
0.451000,-0.0796,0.9790,0.0225,0.982
0.453000,-0.0774,0.9804,0.0257,0.984
0.455000,-0.0757,0.9814,0.0261,0.985
0.457000,-0.0750,0.9799,0.0264,0.983
0.459000,-0.0740,0.9790,0.0286,0.982
0.460000,-0.0740,0.9795,0.0298,0.983
0.462000,-0.0767,0.9804,0.0283,0.984
0.464000,-0.0784,0.9795,0.0283,0.983
0.466000,-0.0809,0.9807,0.0274,0.984
0.471000,-0.0811,0.9797,0.0283,0.983
0.472000,-0.0806,0.9787,0.0288,0.982
0.473000,-0.0811,0.9787,0.0271,0.982
0.475000,-0.0814,0.9797,0.0252,0.983
0.477000,-0.0814,0.9787,0.0249,0.982
0.479000,-0.0811,0.9799,0.0261,0.984
0.481000,-0.0821,0.9807,0.0286,0.985
0.483000,-0.0836,0.9821,0.0286,0.986
0.489000,-0.0836,0.9824,0.0288,0.986
0.490000,-0.0840,0.9829,0.0303,0.987
0.491000,-0.0840,0.9817,0.0310,0.986
0.491000,-0.0833,0.9821,0.0310,0.986
0.492000,-0.0818,0.9829,0.0318,0.987
0.495000,-0.0801,0.9824,0.0313,0.986
0.497000,-0.0804,0.9819,0.0305,0.986
0.499000,-0.0804,0.9804,0.0315,0.984
0.502000,-0.0826,0.9817,0.0291,0.986
0.502000,-0.0818,0.9843,0.0264,0.988
0.504000,-0.0833,0.9839,0.0242,0.988
0.507000,-0.0843,0.9846,0.0215,0.988
0.509000,-0.0855,0.9861,0.0200,0.990
0.510000,-0.0848,0.9863,0.0183,0.990
0.513000,-0.0836,0.9861,0.0208,0.990
0.515000,-0.0845,0.9870,0.0200,0.991
0.518000,-0.0858,0.9875,0.0203,0.991
0.519000,-0.0870,0.9873,0.0195,0.991
0.521000,-0.0882,0.9851,0.0188,0.989
0.522000,-0.0884,0.9861,0.0195,0.990
0.525000,-0.0870,0.9848,0.0208,0.989
0.527000,-0.0894,0.9848,0.0232,0.989
0.529000,-0.0899,0.9851,0.0257,0.990
0.531000,-0.0894,0.9843,0.0286,0.989
0.533000,-0.0899,0.9843,0.0335,0.989
0.535000,-0.0865,0.9841,0.0366,0.989
0.537000,-0.0860,0.9839,0.0381,0.988
0.539000,-0.0860,0.9829,0.0408,0.987
0.540000,-0.0855,0.9824,0.0423,0.987
0.543000,-0.0860,0.9841,0.0396,0.989
0.545000,-0.0872,0.9841,0.0393,0.989
0.547000,-0.0865,0.9824,0.0388,0.987
0.548000,-0.0855,0.9826,0.0354,0.987
0.553000,-0.0853,0.9821,0.0335,0.986
0.554000,-0.0848,0.9821,0.0337,0.986
0.555000,-0.0828,0.9824,0.0313,0.986
0.558000,-0.0836,0.9817,0.0266,0.986
0.559000,-0.0831,0.9807,0.0244,0.984
0.561000,-0.0823,0.9814,0.0225,0.985
0.563000,-0.0811,0.9804,0.0225,0.984
0.564000,-0.0806,0.9792,0.0210,0.983
0.566000,-0.0811,0.9797,0.0198,0.983
0.569000,-0.0792,0.9807,0.0195,0.984
0.572000,-0.0789,0.9821,0.0178,0.985
0.572000,-0.0789,0.9824,0.0183,0.986
0.574000,-0.0777,0.9824,0.0188,0.986
0.577000,-0.0782,0.9819,0.0198,0.985
0.578000,-0.0774,0.9807,0.0249,0.984
0.581000,-0.0774,0.9807,0.0264,0.984
0.583000,-0.0777,0.9821,0.0283,0.986
0.589000,-0.0792,0.9836,0.0301,0.987
0.589000,-0.0806,0.9851,0.0313,0.989
0.590000,-0.0809,0.9846,0.0320,0.988
0.591000,-0.0818,0.9851,0.0308,0.989
0.593000,-0.0843,0.9863,0.0308,0.990
0.595000,-0.0853,0.9853,0.0293,0.989
0.597000,-0.0845,0.9851,0.0281,0.989
0.599000,-0.0838,0.9848,0.0252,0.989
0.624000,-0.0840,0.9839,0.0242,0.988
0.625000,-0.0833,0.9841,0.0239,0.988
0.625000,-0.0818,0.9851,0.0225,0.989
0.625000,-0.0811,0.9841,0.0215,0.988
0.626000,-0.0804,0.9846,0.0205,0.988
0.626000,-0.0796,0.9843,0.0217,0.988
0.627000,-0.0784,0.9819,0.0200,0.985
0.627000,-0.0784,0.9829,0.0215,0.986
0.627000,-0.0772,0.9834,0.0225,0.987
0.628000,-0.0772,0.9843,0.0217,0.988
0.628000,-0.0799,0.9831,0.0205,0.987
0.629000,-0.0809,0.9826,0.0203,0.986
0.629000,-0.0809,0.9799,0.0203,0.983
0.630000,-0.0823,0.9812,0.0215,0.985
0.630000,-0.0816,0.9817,0.0222,0.985
0.631000,-0.0818,0.9804,0.0235,0.984
0.633000,-0.0838,0.9804,0.0252,0.984
0.636000,-0.0821,0.9809,0.0259,0.985
0.637000,-0.0826,0.9804,0.0264,0.984
0.640000,-0.0818,0.9809,0.0308,0.985
0.641000,-0.0845,0.9821,0.0337,0.986
0.644000,-0.0858,0.9819,0.0352,0.986
0.647000,-0.0887,0.9817,0.0369,0.986
0.647000,-0.0892,0.9817,0.0388,0.986
0.650000,-0.0911,0.9824,0.0418,0.987
0.651000,-0.0926,0.9824,0.0423,0.988
0.655000,-0.0941,0.9834,0.0432,0.989
0.656000,-0.0921,0.9831,0.0418,0.988
0.657000,-0.0926,0.9839,0.0401,0.989
0.659000,-0.0887,0.9817,0.0386,0.986
0.661000,-0.0853,0.9812,0.0359,0.986
0.662000,-0.0831,0.9817,0.0342,0.986
0.665000,-0.0794,0.9819,0.0308,0.986
0.666000,-0.0774,0.9812,0.0274,0.985
0.672000,-0.0757,0.9792,0.0259,0.982
0.672000,-0.0757,0.9787,0.0242,0.982
0.673000,-0.0767,0.9797,0.0220,0.983
0.675000,-0.0801,0.9812,0.0237,0.985
0.677000,-0.0828,0.9821,0.0254,0.986
0.678000,-0.0840,0.9829,0.0266,0.987
0.681000,-0.0880,0.9851,0.0259,0.989
0.683000,-0.0889,0.9868,0.0266,0.991
0.699000,-0.0894,0.9887,0.0291,0.993
0.700000,-0.0887,0.9890,0.0293,0.993
0.701000,-0.0850,0.9897,0.0271,0.994
0.701000,-0.0828,0.9895,0.0261,0.993
0.702000,-0.0794,0.9897,0.0232,0.993
0.702000,-0.0762,0.9868,0.0173,0.990
0.702000,-0.0755,0.9858,0.0144,0.989
0.703000,-0.0743,0.9848,0.0132,0.988
0.703000,-0.0765,0.9817,0.0095,0.985
0.703000,-0.0770,0.9814,0.0088,0.984
0.705000,-0.0794,0.9826,0.0090,0.986
0.707000,-0.0799,0.9819,0.0115,0.985
0.710000,-0.0799,0.9812,0.0129,0.984
0.710000,-0.0792,0.9807,0.0156,0.984
0.713000,-0.0762,0.9795,0.0203,0.983
0.715000,-0.0760,0.9807,0.0269,0.984
0.716000,-0.0760,0.9787,0.0283,0.982
0.719000,-0.0774,0.9795,0.0347,0.983
0.721000,-0.0814,0.9824,0.0371,0.986
0.722000,-0.0831,0.9826,0.0369,0.987
0.725000,-0.0865,0.9812,0.0386,0.986
0.727000,-0.0877,0.9802,0.0423,0.985
0.729000,-0.0870,0.9802,0.0454,0.985
0.730000,-0.0867,0.9802,0.0464,0.985
0.732000,-0.0889,0.9824,0.0462,0.987
0.735000,-0.0889,0.9843,0.0437,0.989
0.737000,-0.0882,0.9812,0.0425,0.986
0.739000,-0.0870,0.9809,0.0428,0.986
0.741000,-0.0872,0.9819,0.0401,0.987
0.742000,-0.0870,0.9829,0.0381,0.987
0.744000,-0.0836,0.9841,0.0325,0.988
0.746000,-0.0789,0.9817,0.0293,0.985
0.748000,-0.0767,0.9797,0.0254,0.983
0.751000,-0.0772,0.9797,0.0252,0.983
0.755000,-0.0760,0.9785,0.0257,0.982
0.755000,-0.0755,0.9814,0.0239,0.985
0.757000,-0.0765,0.9834,0.0232,0.987
0.758000,-0.0787,0.9846,0.0227,0.988
0.761000,-0.0823,0.9856,0.0237,0.989
0.762000,-0.0836,0.9856,0.0239,0.989
0.764000,-0.0872,0.9848,0.0239,0.989
0.767000,-0.0875,0.9858,0.0237,0.990
0.769000,-0.0870,0.9863,0.0237,0.990
0.771000,-0.0867,0.9863,0.0227,0.990
0.773000,-0.0858,0.9843,0.0213,0.988
0.775000,-0.0821,0.9836,0.0193,0.987
0.777000,-0.0818,0.9843,0.0200,0.988
0.779000,-0.0806,0.9809,0.0225,0.984
0.781000,-0.0789,0.9819,0.0252,0.985
0.790000,-0.0782,0.9824,0.0252,0.986
0.791000,-0.0782,0.9836,0.0259,0.987
0.791000,-0.0777,0.9821,0.0279,0.986
0.792000,-0.0789,0.9817,0.0291,0.985
0.792000,-0.0799,0.9807,0.0291,0.984
0.793000,-0.0792,0.9802,0.0298,0.984
0.796000,-0.0777,0.9802,0.0279,0.984
0.798000,-0.0770,0.9817,0.0264,0.985
0.801000,-0.0767,0.9814,0.0254,0.985
0.812000,-0.0792,0.9814,0.0239,0.985
0.813000,-0.0796,0.9826,0.0230,0.986
0.813000,-0.0809,0.9839,0.0213,0.987
0.813000,-0.0804,0.9848,0.0193,0.988
0.814000,-0.0799,0.9846,0.0186,0.988
0.814000,-0.0826,0.9851,0.0154,0.989
0.815000,-0.0828,0.9848,0.0156,0.988
0.815000,-0.0811,0.9826,0.0149,0.986
0.817000,-0.0816,0.9834,0.0159,0.987
0.825000,-0.0828,0.9843,0.0166,0.988
0.826000,-0.0838,0.9839,0.0195,0.988
0.826000,-0.0845,0.9836,0.0205,0.987
0.826000,-0.0850,0.9826,0.0239,0.987
0.827000,-0.0840,0.9836,0.0237,0.987
0.829000,-0.0836,0.9856,0.0261,0.989
0.832000,-0.0836,0.9841,0.0283,0.988
0.835000,-0.0833,0.9829,0.0298,0.987
0.836000,-0.0855,0.9817,0.0322,0.986
0.837000,-0.0870,0.9812,0.0318,0.986
0.839000,-0.0882,0.9807,0.0308,0.985
0.841000,-0.0916,0.9836,0.0286,0.988
0.842000,-0.0931,0.9846,0.0283,0.989
0.844000,-0.0938,0.9841,0.0296,0.989
0.846000,-0.0931,0.9839,0.0301,0.989
0.848000,-0.0933,0.9851,0.0310,0.990
0.851000,-0.0926,0.9834,0.0320,0.988
0.853000,-0.0880,0.9834,0.0340,0.988
0.855000,-0.0816,0.9809,0.0357,0.985
0.857000,-0.0770,0.9782,0.0391,0.982
0.859000,-0.0743,0.9782,0.0403,0.982
0.861000,-0.0743,0.9787,0.0391,0.982
0.862000,-0.0733,0.9785,0.0386,0.982
0.864000,-0.0735,0.9799,0.0376,0.983
0.867000,-0.0745,0.9797,0.0357,0.983
0.869000,-0.0728,0.9812,0.0303,0.984
0.871000,-0.0730,0.9814,0.0269,0.984
0.873000,-0.0721,0.9809,0.0200,0.984
0.875000,-0.0689,0.9812,0.0149,0.984
0.877000,-0.0689,0.9817,0.0142,0.984
0.879000,-0.0687,0.9812,0.0093,0.984
0.881000,-0.0679,0.9812,0.0088,0.984
0.883000,-0.0682,0.9819,0.0103,0.984
0.891000,-0.0750,0.9829,0.0127,0.986
0.893000,-0.0806,0.9821,0.0086,0.985
0.894000,-0.0845,0.9812,0.0042,0.985
0.894000,-0.0858,0.9807,0.0046,0.984
0.895000,-0.0860,0.9807,0.0105,0.984
0.896000,-0.0806,0.9817,0.0154,0.985
0.898000,-0.0787,0.9812,0.0166,0.984
0.900000,-0.0760,0.9814,0.0257,0.985
0.912000,-0.0738,0.9817,0.0313,0.985
0.913000,-0.0740,0.9831,0.0322,0.986
0.914000,-0.0743,0.9856,0.0318,0.989
0.915000,-0.0779,0.9848,0.0298,0.988
0.916000,-0.0806,0.9851,0.0281,0.989
0.916000,-0.0833,0.9846,0.0252,0.988
0.917000,-0.0850,0.9839,0.0225,0.988
0.918000,-0.0887,0.9839,0.0213,0.988
0.918000,-0.0906,0.9856,0.0183,0.990
0.919000,-0.0914,0.9865,0.0186,0.991
0.921000,-0.0926,0.9865,0.0195,0.991
0.923000,-0.0926,0.9865,0.0200,0.991
0.925000,-0.0916,0.9848,0.0215,0.989
0.927000,-0.0899,0.9839,0.0254,0.988
0.929000,-0.0862,0.9863,0.0274,0.990
0.931000,-0.0840,0.9865,0.0283,0.991
0.934000,-0.0794,0.9831,0.0288,0.987
0.936000,-0.0770,0.9812,0.0288,0.985
0.937000,-0.0765,0.9802,0.0291,0.984
0.939000,-0.0748,0.9782,0.0308,0.982
0.941000,-0.0770,0.9787,0.0301,0.982
0.943000,-0.0774,0.9792,0.0291,0.983
0.945000,-0.0779,0.9817,0.0237,0.985
0.947000,-0.0794,0.9814,0.0283,0.985
0.949000,-0.0818,0.9821,0.0305,0.986
0.951000,-0.0848,0.9853,0.0301,0.989
0.953000,-0.0862,0.9868,0.0235,0.991
0.955000,-0.0855,0.9868,0.0220,0.991
0.957000,-0.0840,0.9863,0.0222,0.990
0.959000,-0.0806,0.9841,0.0247,0.988
0.961000,-0.0765,0.9839,0.0247,0.987
0.963000,-0.0752,0.9843,0.0239,0.988
0.965000,-0.0740,0.9863,0.0249,0.989
0.967000,-0.0755,0.9853,0.0237,0.988
0.970000,-0.0765,0.9858,0.0230,0.989
0.971000,-0.0765,0.9848,0.0198,0.988
0.973000,-0.0767,0.9843,0.0159,0.987
0.975000,-0.0770,0.9834,0.0134,0.986
0.978000,-0.0772,0.9817,0.0134,0.985
0.979000,-0.0777,0.9817,0.0134,0.985
0.981000,-0.0770,0.9807,0.0144,0.984
0.983000,-0.0765,0.9812,0.0129,0.984
0.990000,-0.0755,0.9812,0.0132,0.984
0.991000,-0.0733,0.9807,0.0142,0.984
0.992000,-0.0718,0.9799,0.0129,0.983
0.992000,-0.0716,0.9792,0.0154,0.982
0.994000,-0.0728,0.9782,0.0213,0.981
0.995000,-0.0738,0.9770,0.0213,0.980
0.997000,-0.0738,0.9777,0.0222,0.981
0.999000,-0.0745,0.9775,0.0261,0.981
1.002000,-0.0750,0.9758,0.0301,0.979
1.003000,-0.0748,0.9758,0.0315,0.979
1.005000,-0.0738,0.9765,0.0340,0.980
1.007000,-0.0752,0.9773,0.0354,0.981
1.009000,-0.0765,0.9782,0.0359,0.982
1.011000,-0.0762,0.9785,0.0354,0.982
1.013000,-0.0789,0.9795,0.0322,0.983
1.015000,-0.0799,0.9809,0.0293,0.985
1.018000,-0.0794,0.9807,0.0281,0.984
1.019000,-0.0784,0.9817,0.0264,0.985
1.021000,-0.0765,0.9821,0.0227,0.985
1.023000,-0.0757,0.9814,0.0217,0.985
1.025000,-0.0752,0.9841,0.0171,0.987
1.027000,-0.0772,0.9853,0.0129,0.988
1.029000,-0.0784,0.9858,0.0129,0.989
1.031000,-0.0804,0.9846,0.0134,0.988
1.033000,-0.0831,0.9868,0.0125,0.990
1.035000,-0.0850,0.9902,0.0103,0.994
1.037000,-0.0877,0.9929,0.0110,0.997
1.039000,-0.0877,0.9919,0.0144,0.996
1.041000,-0.0870,0.9922,0.0166,0.996
1.043000,-0.0877,0.9922,0.0173,0.996
1.045000,-0.0880,0.9924,0.0200,0.996
1.047000,-0.0877,0.9941,0.0208,0.998
1.049000,-0.0875,0.9953,0.0205,0.999
1.052000,-0.0880,0.9934,0.0213,0.997
1.053000,-0.0897,0.9895,0.0217,0.994
1.055000,-0.0897,0.9882,0.0200,0.993
1.057000,-0.0911,0.9873,0.0176,0.992
1.059000,-0.0894,0.9875,0.0166,0.992
1.061000,-0.0892,0.9856,0.0181,0.990
1.064000,-0.0887,0.9848,0.0183,0.989
1.066000,-0.0872,0.9829,0.0198,0.987
1.068000,-0.0850,0.9809,0.0269,0.985
1.069000,-0.0853,0.9807,0.0291,0.985
1.071000,-0.0853,0.9814,0.0286,0.986
1.074000,-0.0853,0.9795,0.0298,0.984
1.076000,-0.0848,0.9799,0.0308,0.984
1.078000,-0.0809,0.9795,0.0325,0.983
1.081000,-0.0745,0.9787,0.0366,0.982
1.082000,-0.0677,0.9763,0.0379,0.979
1.083000,-0.0660,0.9748,0.0369,0.978
1.088000,-0.0674,0.9724,0.0330,0.975
1.089000,-0.0672,0.9743,0.0279,0.977
1.089000,-0.0674,0.9758,0.0259,0.978
1.091000,-0.0684,0.9743,0.0215,0.977
1.093000,-0.0730,0.9763,0.0176,0.979
1.095000,-0.0740,0.9782,0.0149,0.981
1.098000,-0.0750,0.9817,0.0066,0.985
1.099000,-0.0743,0.9812,0.0034,0.984
1.112000,-0.0701,0.9802,-0.0010,0.983
1.113000,-0.0677,0.9792,-0.0015,0.982
1.114000,-0.0674,0.9777,-0.0029,0.980
1.114000,-0.0662,0.9775,-0.0010,0.980
1.114000,-0.0662,0.9785,0.0005,0.981
